entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
I04P28,3,3,0%,2,2,0%,2,2,0%
I04P29,3,3,0%,2,2,0%,2,2,0%
I04P30,3,3,0%,2,2,0%,2,2,0%
I04P31,3,3,0%,2,2,0%,2,2,0%
I04P32,3,3,0%,2,2,0%,2,2,0%
I04P33,3,3,0%,2,2,0%,2,2,0%
I04P34,3,3,0%,2,2,0%,2,2,0%
I04P35,3,3,0%,2,2,0%,2,2,0%
I04P36,3,3,0%,2,2,0%,2,2,0%
I04P37,3,3,0%,2,2,0%,2,2,0%
I04P38,3,3,0%,2,2,0%,2,2,0%
I04P39,3,3,0%,2,2,0%,2,2,0%
I04P40,3,3,0%,2,2,0%,2,2,0%
I04P41,3,3,0%,2,2,0%,2,2,0%
I04P42,3,3,0%,2,2,0%,2,2,0%
I04P43,3,3,0%,2,2,0%,2,2,0%
I04P44,3,3,0%,2,2,0%,2,2,0%
I04P45,3,3,0%,2,2,0%,2,2,0%
I04P46,3,3,0%,2,2,0%,2,2,0%
I04P47,3,3,0%,2,2,0%,2,2,0%
I04P48,3,3,0%,2,2,0%,2,2,0%
I04P49,3,3,0%,2,2,0%,2,2,0%
I04P50,3,3,0%,2,2,0%,2,2,0%
I04P51,3,3,0%,2,2,0%,2,2,0%
I04P52,3,3,0%,2,2,0%,2,2,0%
I04P53,3,3,0%,2,2,0%,2,2,0%
I04P54,3,3,0%,2,2,0%,2,2,0%
I04P55,3,3,0%,2,2,0%,2,2,0%
I04P56,3,3,0%,2,2,0%,2,2,0%
I04P57,3,3,0%,2,2,0%,2,2,0%
I04P58,3,3,0%,2,2,0%,2,2,0%
I04P59,3,3,0%,2,2,0%,2,2,0%
I05P00,3,3,0%,2,2,0%,2,2,0%
I05P01,3,3,0%,2,2,0%,2,2,0%
I05P02,3,3,0%,2,2,0%,2,2,0%
I05P03,3,3,0%,2,2,0%,2,2,0%
I05P04,3,3,0%,2,2,0%,2,2,0%
I05P05,3,3,0%,2,2,0%,2,2,0%
I05P06,3,3,0%,2,2,0%,2,2,0%
I05P07,3,3,0%,2,2,0%,2,2,0%
I05P08,3,3,0%,2,2,0%,2,2,0%
I05P09,3,3,0%,2,2,0%,2,2,0%
I05P10,3,3,0%,2,2,0%,2,2,0%
I05P11,3,3,0%,2,2,0%,2,2,0%
I05P12,3,3,0%,2,2,0%,2,2,0%
I05P13,3,3,0%,2,2,0%,2,2,0%
I05P14,3,3,0%,2,2,0%,2,2,0%
I05P15,3,3,0%,2,2,0%,2,2,0%
I05P16,3,3,0%,2,2,0%,2,2,0%
I05P17,3,3,0%,2,2,0%,2,2,0%
I05P18,3,3,0%,2,2,0%,2,2,0%
I05P19,3,3,0%,2,2,0%,2,2,0%
I05P20,3,3,0%,2,2,0%,2,2,0%
I05P21,3,3,0%,2,2,0%,2,2,0%
I05P22,3,3,0%,2,2,0%,2,2,0%
I05P23,3,3,0%,2,2,0%,2,2,0%
I05P24,3,3,0%,2,2,0%,2,2,0%
I05P25,3,3,0%,2,2,0%,2,2,0%
I05P26,3,3,0%,2,2,0%,2,2,0%
I05P27,3,3,0%,2,2,0%,2,2,0%
I05P28,3,3,0%,2,2,0%,2,2,0%
I05P29,3,3,0%,2,2,0%,2,2,0%
I05P30,3,3,0%,2,2,0%,2,2,0%
I05P31,3,3,0%,2,2,0%,2,2,0%
I05P32,3,3,0%,2,2,0%,2,2,0%
I05P33,3,3,0%,2,2,0%,2,2,0%
I05P34,3,3,0%,2,2,0%,2,2,0%
I05P35,3,3,0%,2,2,0%,2,2,0%
I05P36,3,3,0%,2,2,0%,2,2,0%
I05P37,3,3,0%,2,2,0%,2,2,0%
I05P38,3,3,0%,2,2,0%,2,2,0%
I05P39,3,3,0%,2,2,0%,2,2,0%
I05P40,3,3,0%,2,2,0%,2,2,0%
I05P41,3,3,0%,2,2,0%,2,2,0%
I05P42,3,3,0%,2,2,0%,2,2,0%
I05P43,3,3,0%,2,2,0%,2,2,0%
I05P44,3,3,0%,2,2,0%,2,2,0%
I05P45,3,3,0%,2,2,0%,2,2,0%
I05P46,3,3,0%,2,2,0%,2,2,0%
I05P47,3,3,0%,2,2,0%,2,2,0%
I05P48,3,3,0%,2,2,0%,2,2,0%
